Symbol;Name;Sector
GBT.PA;Guerbet SA;Medical Appliances & Equipment
FREY.PA;Frey SA;REIT - Retail
FPN.PA;Foncière Paris Nord;REIT - Office
FPG.PA;Union Technologies Informatique Group S.A.;Information Technology Services
FNTS.PA;Finatis Société Anonyme;Food Wholesale
FNAC.PA;Fnac Darty SA;Specialty Retail, Other
FMC1.F;Ford Motor Company;Auto Manufacturers - Major
FFP.PA;FFP Société anonyme;Asset Management
FEM.PA;auFeminin.com;Internet Information Providers
FBEL.PA;Fromageries Bel;Food - Major Diversified
FAYE.PA;Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme;Personal Products
CIV.PA;Caisse Régionale De Crédit Agricole Mutuel D'ille-Et-Vilaine;Money Center Banks
CGM.PA;Cegedim SA;Healthcare Information Services
BOL.PA;Bollore;Air Delivery & Freight Services
BELI.PA;Le Bélier S.A.;Auto Parts
ALUMS.PA;Umanis SA;Information Technology Services
ALTRA.PA;Traqueur SA;Scientific & Technical Instruments
ALTER.PA;Theradiag SA;Medical Laboratories & Research
ALINN.PA;Millet Innovation SA;Personal Products
ALHVS.PA;Harvest S.A.;Business Software & Services
ALGEN.PA;genOway Société Anonyme;Biotechnology
ALCLS.PA;Cellectis S.A.;Biotechnology
ALCLA.PA;Clasquin S.A.;Air Delivery & Freight Services
ALBUD.PA;Budget Telecom S.A.;Wireless Communications
ALALO.PA;Acheter-Louer.Fr SA;Advertising Agencies
ALADO.PA;Adomos S.A.;Property Management
AKA.PA;Akka Technologies;Business Services
ACA.PA;Credit Agricole S.A.;Money Center Banks
WFM.F;Whole Foods Market, Inc.;Grocery Stores
VVU.DE;Vivendi SA;Wireless Communications
VLAP.PA;Valneva SE;Biotechnology
VCT.PA;Vicat SA;General Building Materials
UFF.PA;Union Financiere de France Banque SA;Asset Management
UDIS.PA;U10 SA;Home Furnishings & Fixtures
TNG.PA;Transgene SA;Biotechnology
MLFIH.PA;Industrial Holding S.P.A;Real Estate Development
HSB.PA;HSBC Holdings plc;Money Center Banks
SON1.DE;Sony Corporation;Electronic Equipment
MSTY.PA;Mainstay Medical International plc;Medical Appliances & Equipment
GJAJ.PA;Groupe JAJ;Textile - Apparel Clothing
DEC.PA;JCDecaux SA;Advertising Agencies
CMC.F;JPMorgan Chase & Co.;Money Center Banks
MLEST.PA;Societe Du Journal L'Est Republicain Société Anonyme;Publishing - Newspapers
TOM.F;Toyota Motor Corporation;Auto Manufacturers - Major
JNJ.F;Johnson & Johnson;Drug Manufacturers - Major
TSE1.F;Toshiba Corporation;Diversified Machinery
MLJAN.PA;Jane France;Beverages - Soft Drinks
MLKRI.PA;Bernard Krief Consultants SA;Mortgage Investment
KPN.DE;Koninklijke KPN N.V.;Wireless Communications
KOF.PA;Kaufman & Broad S.A.;Residential Construction
KEY.PA;Keyrus S.A.;Information Technology Services
ALKEY.PA;Keyyo S.A.;Wireless Communications
KABN.F;dormakaba Holding AG;Security & Protection Services
KGX.F;KION GROUP AG;Trucks & Other Vehicles
LAX.PA;Stelax Industries Ltd.;Conglomerates
PM.PA;Philip Morris International Inc.;Tobacco Products, Other
MLSEQ.PA;Sequa Petroleum N.V.;Independent Oil & Gas
MTE.DE;Micron Technology, Inc.;Semiconductor- Memory Chips
MMM.F;3M Company;Diversified Machinery
STM.PA;STMicroelectronics N.V.;Semiconductor - Broad Line
QIA.F;QIAGEN N.V.;Medical Laboratories & Research
PHI1.DE;Koninklijke Philips N.V.;Electronic Equipment
NXI.PA;Nexity SA;Property Management
NTH.F;Northrop Grumman Corporation;Aerospace/Defense - Major Diversified
NRO.PA;Neurones S.A.;Information Technology Services
NGLB.F;Anglo American plc;Industrial Metals & Minerals
NEX.PA;Nexans S.A.;Diversified Machinery
ORP.PA;ORPEA Société Anonyme;Long-Term Care Facilities
ORAP.PA;Orapi;Specialty Chemicals
OLG.PA;Olympique Lyonnais Groupe SA;Broadcasting - TV
MLONE.PA;Body One SA;Textile - Apparel Clothing
ALONC.PA;Oncodesign Société Anonyme;Biotechnology
ALODI.PA;O2i Société Anonyme;Technical & System Software
ORC.F;Oracle Corporation;Business Software & Services
AOX.F;alstria office REIT-AG;REIT - Office
OSP2.F;USU Software AG;Information Technology Services
OHB.F;OHB SE;Aerospace/Defense - Major Diversified
QSC.F;QSC AG;Wireless Communications
QCI.F;QUALCOMM Incorporated;Communication Equipment
QB7.F;Quirin Privatbank AG;Money Center Banks
QS5.F;Straumann Holding AG;Medical Instruments & Supplies
QYM.F;Sociedad Química y Minera de Chile S.A.;Chemicals - Major Diversified
AGTA.PA;agta record ag;General Building Materials
SQI.PA;SQLi;Information Technology Services
RX.PA;Recylex S.A.;Industrial Metals & Minerals
CATR.PA;Caterpillar Inc.;Farm & Construction Machinery
CIS.DE;Cisco Systems, Inc.;Communication Equipment
CHV.F;Chevron Corporation;Major Integrated Oil & Gas
WMT.DE;Wal-Mart Stores, Inc.;Discount, Variety Stores
UPAB.F;United Parcel Service, Inc.;Air Delivery & Freight Services
UNH.F;UnitedHealth Group Incorporated;Health Care Plans
SSU.F;Samsung Electronics Co., Ltd.;Electronic Equipment
SRB.F;Starbucks Corporation;Restaurants
SONA.F;Sony Corporation;Electronic Equipment
REPA.F;Repsol, S.A.;Major Integrated Oil & Gas
PEP.F;Pepsico, Inc.;Beverages - Soft Drinks
MRK.PA;Merck & Co., Inc.;Drug Manufacturers - Major
MOO.F;Monsanto Company;Agricultural Chemicals
MDO.DE;McDonald's Corporation;Restaurants
INL.DE;Intel Corporation;Semiconductor - Broad Line
ILU.F;Illumina, Inc.;Medical Instruments & Supplies
IBM.DE;International Business Machines Corporation;Information Technology Services
HBC2.F;HSBC Holdings plc;Money Center Banks
GAZ.F;Public Joint Stock Company Gazprom;Major Integrated Oil & Gas
FDX.F;FedEx Corporation;Air Delivery & Freight Services
DTEA.F;Deutsche Telekom AG;Wireless Communications
CPA.DE;Colgate-Palmolive Company;Personal Products
CIS.F;Cisco Systems, Inc.;Communication Equipment
BHP.F;BHP Billiton Limited;Industrial Metals & Minerals
BAYA.F;Bayer Aktiengesellschaft;Drug Manufacturers - Major
BAC.F;Verizon Communications Inc.;Wireless Communications
B1C.F;Baidu, Inc.;Internet Information Providers
APC.F;Apple Inc.;Electronic Equipment
APC.DE;Apple Inc.;Electronic Equipment
ALUCR.PA;UCAR SA;Rental & Leasing Services
ALD.F;Honeywell International Inc.;Diversified Machinery
RIN.PA;VILMORIN & CIE;Farm Products
MLVER.PA;Verney-Carron SA;Aerospace/Defense - Major Diversified
GV.PA;Genomic Vision Société Anonyme;Food - Major Diversified
DG.PA;VINCI SA;General Contractors
CVLA.F;Vale S.A.;Industrial Metals & Minerals
CRAV.PA;Crédit Agricole Atlantique Vendée;Money Center Banks
BMW3.F;Bayerische Motoren Werke Aktiengesellschaft;Auto Manufacturers - Major
ALVXM.PA;Vexim SA;Medical Instruments & Supplies
ALVMG.PA;Visiomed Group SA;Medical Appliances & Equipment
ALVDM.PA;Voyageurs du Monde Société Anonyme;Recreational Goods, Other
ALVDI.PA;VDI Group Société Anonyme;Specialty Retail, Other
VWS.F;Vestas Wind Systems A/S;Diversified Machinery
VAC.DE;Vallourec SA;Steel & Iron
EIN3.F;Einhell Germany AG;Machine Tools & Accessories
PFV.F;Pfeiffer Vacuum Technology AG;Diversified Machinery
VOW4.F;Volkswagen Aktiengesellschaft;Auto Manufacturers - Major
MLVES.PA;Vestasia Limited;Asset Management
3V64.F;Visa Inc.;Credit Services
HEN3.F;Henkel AG & Co. KGaA;Personal Products
BIO3.F;Biotest Aktiengesellschaft;Biotechnology
VIB3.F;Villeroy & Boch AG;Home Furnishings & Fixtures
VOS.F;Vossloh AG;Railroads
SHWK.F;SHS VIVEON AG;Information Technology Services
MLPHW.PA;Phone Web SA;Business Services
MBWS.PA;Marie Brizard Wine & Spirits SA;Beverages - Wineries & Distillers
ALWEB.PA;Weborama SA;Internet Information Providers
VWSA.F;Vestas Wind Systems A/S;Diversified Machinery
KWG.F;KHD Humboldt Wedag International AG;Industrial Equipment Wholesale
WL6.F;Wilex AG;Biotechnology
DWNI.F;Deutsche Wohnen SE;Real Estate Development
WAC.F;Wacker Neuson SE;Farm & Construction Machinery
WUG3.F;Westag & Getalit AG;Home Furnishings & Fixtures
WDP.F;The Walt Disney Company;Entertainment - Diversified
WUG.F;Westag & Getalit AG;Home Furnishings & Fixtures
MWB.F;mwb fairtrade Wertpapierhandelsbank AG;Investment Brokerage - National
IGE.PA;IGE+XAO Group;Technical & System Software
XONA.F;Exxon Mobil Corporation;Major Integrated Oil & Gas
XCA.F;Credit Agricole S.A.;Money Center Banks
XIX.F;Xilinx, Inc.;Semiconductor - Broad Line
RNY.F;Yamana Gold Inc.;Gold
IU2.F;Yara International ASA;Chemicals - Major Diversified
YSN.F;secunet Security Networks Aktiengesellschaft;Technical & System Software
YCP.F;ConocoPhillips;Independent Oil & Gas
YOC.F;YOC AG;Marketing Services
MLZAM.PA;ZCCM Investments Holdings Plc;Copper
FZM.F;ZTE Corporation;Communication Equipment
AFX.F;Carl Zeiss Meditec AG;Medical Laboratories & Research
ZFIN.F;Zurich Insurance Group AG;Property & Casualty Insurance
ZAL.F;Zalando SE;Specialty Retail, Other
ZJS1.F;JinkoSolar Holding Co., Ltd.;Diversified Utilities
ZFI1.F;Zurich Insurance Group AG;Property & Casualty Insurance
