Symbol;Name;Sector
GAM.PA;Gaumont SA;Entertainment - Diversified
COUR.PA;Courtois SA;Property Management
COH.PA;Coheris SA;Technical & System Software
MLLOI.PA;Locasystem International SA;Information Technology Services
MLCOU.PA;Courbet Sa;Asset Management
SGE.DE;Societe Generale Group;Money Center Banks
MLUSG.PA;Universal System Group;General Building Materials
COFA.PA;Coface SA;Property & Casualty Insurance
GENX.PA;Generix SA;Business Software & Services
MLLED.PA;Novaday S.A.;Diversified Electronics
INF.PA;Infotel SA;Information Technology Services
CAR.F;Carrefour SA;Grocery Stores
LAN.PA;Lanson-BCC;Beverages - Brewers
MLSAT.PA;Infosat Telecom SA;Wireless Communications
RNL.DE;Renault SA;Auto Manufacturers - Major
SK.PA;SEB SA;Personal Products
MLSRP.PA;Speed Rabbit Pizza;Food Wholesale
MCH.F;Compagnie Générale des Etablissements Michelin;Rubber & Plastics
MLARI.PA;Silkan RT SA;Computers Wholesale
MLAUD.PA;Audience Labs;Marketing Services
UNBL.PA;Unibel S.A.;Food - Major Diversified
NRG.PA;NRJ Group SA;Broadcasting - Radio
SPIE.PA;SPIE SAS;General Contractors
MKEA.PA;Mauna Kea Technologies SA;Medical Appliances & Equipment
TXCL.PA;TxCell S.A.;Biotechnology
LNA.PA;Le Noble Age S.A.;Long-Term Care Facilities
PHA.PA;Pharmagest Interactive SA;Technical & System Software
MLPLC.PA;Placoplatre SA;General Building Materials
VLTSA.PA;Voltalia SA;Electric Utilities
GZF.F;ENGIE SA;Diversified Utilities
RUI.PA;Rubis;Gas Utilities
MEMS.PA;MEMSCAP, S.A.;Semiconductor Equipment & Materials
GRVO.PA;Graines Voltz;Agricultural Chemicals
MLMII.PA;Maison Internationale de l'Informatique S.A.S.;Information Technology Services
MLPAC.PA;Pacte Novation;Technical & System Software
KORI.PA;Korian;Hospitals
TVLY.PA;Tivoly S.A.;Diversified Machinery
MCH.DE;Compagnie Générale des Etablissements Michelin;Rubber & Plastics
FTE.DE;Orange S.A.;Wireless Communications
RBT.PA;Robertet SA;Chemicals - Major Diversified
UBL.F;Unibail-Rodamco SE;REIT - Retail
UBL.DE;Unibail-Rodamco SE;REIT - Retail
MLSBT.PA;Scientific Brain Training SA;Healthcare Information Services
MLNEO.PA;Néocom Multimédia SA;Internet Information Providers
PCA.PA;PCAS SA;Chemicals - Major Diversified
PREC.PA;Precia SA;Electronic Equipment
RNL.F;Renault SA;Auto Manufacturers - Major
MLTEK.PA;Technoflex S.A.;Rubber & Plastics
POM.PA;Compagnie Plastic Omnium SA;Auto Parts
IDL.PA;ID Logistics Group SA;Business Services
LAT.PA;LatÃ©coÃ¨re S.A.;Aerospace/Defense - Major Diversified
FTE.F;Orange S.A.;Wireless Communications
PAR.PA;Paref SA;REIT - Diversified
PGP.PA;The Procter & Gamble Company;Personal Products
HBC1.F;HSBC Holdings plc;Money Center Banks
GS7.F;GlaxoSmithKline plc;Drug Manufacturers - Major
SSUN.F;Samsung Electronics Co., Ltd.;Electronic Equipment
HYU.F;Hyundai Motor Company;Auto Manufacturers - Major
GRM.F;General Mills, Inc.;Food - Major Diversified
GXI.F;Gerresheimer AG;Medical Instruments & Supplies
GSJ.F;German Startups Group Berlin GmbH & Co. KGaA;Asset Management
G1A.F;GEA Group Aktiengesellschaft;Diversified Machinery
GHH.F;Geox S.p.A.;Textile - Apparel Footwear & Accessories
SGE.F;Societe Generale Group;Money Center Banks
GSC1.F;Gesco AG;Diversified Machinery
GFIN.F;Georg Fischer AG;Diversified Machinery
GME.F;Geratherm Medical AG;Medical Appliances & Equipment
GWI1.F;Gerry Weber International AG;Textile - Apparel Clothing
GFT.F;GFT Technologies SE;Information Technology Services
GIRO.PA;Signaux Girod S.A.;Diversified Machinery
GIN.F;Givaudan SA;Specialty Chemicals
GIS.F;Gilead Sciences, Inc.;Biotechnology
GKS.F;GK Software AG;Technical & System Software
GLJ.F;Grenke AG;Asset Management
GLW.F;Corning Incorporated;Diversified Electronics
GMM.F;Grammer Aktiengesellschaft;Auto Parts
KIN2.F;Kinross Gold Corporation;Gold
GO5.F;Goldcorp Inc.;Gold
G6P.F;Going Public Media AG;Publishing - Newspapers
GOS.F;The Goldman Sachs Group, Inc.;Investment Brokerage - National
N4G.F;The Naga Group AG;Gaming Activities
HAL.F;Halliburton Company;Oil & Gas Equipment & Services
HAW.F;Hawesko Holding Aktiengesellschaft;Beverages - Wineries & Distillers
MLUMH.PA;Union Metallurgique de la Haute-Seine S.A.;Machine Tools & Accessories
H9Y.F;HanseYachts AG;Recreational Vehicles
PND.F;Marine Harvest ASA;Farm Products
HAB.F;Hamborner REIT AG;REIT - Diversified
HCO.PA;High Co. SA;Advertising Agencies
HCL.F;Hecla Mining Company;Silver
HNK1.F;Heineken N.V.;Beverages - Brewers
HEN.F;Henkel AG & Co. KGaA;Personal Products
HEZ.F;Pelikan Aktiengesellschaft;Paper & Paper Products
HMSB.F;H & M Hennes & Mauritz AB (publ);Textile - Apparel Clothing
HG1.F;HOMAG Group AG;Diversified Machinery
HHFA.F;Hamburger Hafen und Logistik Aktiengesellschaft;Shipping
MLION.PA;Lionax International Investment Holdings Limited;Auto Parts
LHL.F;Lenovo Group Limited;Computer Based Systems
MLTMT.PA;China Treasure Mine Technology Holdings Co., Ltd.;Wireless Communications
SLW.F;Swiss Life Holding AG;Property & Casualty Insurance
TTI.F;Tom Tailor Holding AG;Apparel Stores
PHBN.F;Sonova Holding AG;Medical Appliances & Equipment
VTLN.F;Vontobel Holding AG;Asset Management
HLBN.F;LafargeHolcim Ltd;General Building Materials
MUB.F;Mühlbauer Holding AG & Co. Kommanditgesellschaft auf Aktien;Computer Based Systems
HP3.F;Ringmetall AG;Asset Management
HYQ.F;Hypoport AG;Internet Information Providers
NOH1.F;Norsk Hydro ASA;Aluminum
IAM.PA;Itissalat Al-Maghrib (IAM) S.A.;Wireless Communications
IBM.F;International Business Machines Corporation;Information Technology Services
IC8.F;InCity Immobilien AG;Property Management
IES.F;Intesa Sanpaolo S.p.A.;Money Center Banks
IS8.F;Ifa Systems Ag;Healthcare Information Services
P1Z.F;Patrizia Immobilien AG;Real Estate Development
TEG.F;TAG Immobilien AG;Real Estate Development
SSI.PA;SuperSonic Imagine SA;Medical Laboratories & Research
MLIPY.PA;Ipernity Org, S.A.S;Internet Information Providers
I8R.F;iRobot Corporation;Electronic Equipment
ISH2.F;INTERSHOP Communications Aktiengesellschaft;Technical & System Software
IS7.F;InTiCa Systems AG;Diversified Electronics
ISR.F;Isra Vision AG;Technical & System Software
ENL.F;Enel SpA;Diversified Utilities
TQIR.F;Telecom Italia S.p.A.;Wireless Communications
MDS.F;Mediaset S.p.A.;Broadcasting - TV
I7N.F;ItN Nanovation AG;Diversified Machinery
ENI.F;Eni S.p.A.;Major Integrated Oil & Gas
TQI.F;Telecom Italia S.p.A.;Wireless Communications
ITN.F;Intertainment AG;Entertainment - Diversified
ITL.PA;IT Link SA;Information Technology Services
IVX.F;InVision Aktiengesellschaft;Business Software & Services
IVU.F;IVU Traffic Technologies AG;Technical & System Software
IXX.F;init innovation in traffic systems SE;Information Technology Services
A8A.F;JDC Group AG;Asset Management
JEN.F;Jenoptik AG;Diversified Electronics
S7E.F;Shire plc;Biotechnology
JFB.F;Joh. Friedrich Behrens AG;Machine Tools & Accessories
JNJ.DE;Johnson & Johnson;Drug Manufacturers - Major
SON1.F;Sony Corporation;Electronic Equipment
NTO.F;Nintendo Co., Ltd.;Multimedia & Graphics Software
JUN3.F;Jungheinrich Aktiengesellschaft;Diversified Machinery
KA8.F;Klassik Radio AG;Broadcasting - TV
KAZI.PA;Orchestra-PrÃ©maman S.A.;Textile - Apparel Clothing
KCO.F;Klöckner & Co SE;Steel & Iron
LI.PA;Klepierre SA;REIT - Retail
KNIA.F;Kuehne + Nagel International AG;Air Delivery & Freight Services
SKB.F;Koenig & Bauer AG;Diversified Machinery
KPN.F;Koninklijke KPN N.V.;Wireless Communications
KSC.F;KPS AG;Business Services
SDF.F;K+S Aktiengesellschaft;Chemicals - Major Diversified
KSB.F;KSB Aktiengesellschaft;Diversified Machinery
KSB3.F;KSB Aktiengesellschaft;Diversified Machinery
KU2.F;KUKA Aktiengesellschaft;Diversified Machinery
ULC.F;UNITEDLABELS Aktiengesellschaft;Apparel Stores
LUS.F;Lang & Schwarz Aktiengesellschaft;Investment Brokerage - National
LCR.F;Las Vegas Sands Corp.;Resorts & Casinos
LCR.DE;Las Vegas Sands Corp.;Resorts & Casinos
LDL.PA;Groupe LDLC;Specialty Retail, Other
OSR.F;OSRAM Licht AG;Diversified Electronics
LEI.F;Leifheit Aktiengesellschaft;Personal Products
LEO.F;LEONI AG;Auto Parts
LNC.PA;Les Nouveaux Constructeurs SA;Residential Construction
LOR.DE;L'Oréal S.A.;Personal Products
LOR.F;L'Oréal S.A.;Personal Products
LOUP.PA;L.D.C. S.A.;Food - Major Diversified
K1R.F;KROMI Logistik AG;Industrial Equipment Wholesale
LOM.F;Lockheed Martin Corporation;Aerospace/Defense - Major Diversified
LSX.F;LS Telcom AG;Wireless Communications
SESG.PA;SES S.A.;Broadcasting - TV
MF6.F;MagForce AG;Medical Appliances & Equipment
MGA.F;Magna International Inc.;Auto Parts
MBQ.F;Mobotix AG;Communication Equipment
MDO.F;McDonald's Corporation;Restaurants
MCE.F;medical columbus AG;Information Technology Services
MDN.F;Medion AG;Electronic Equipment
MED.F;MEDICLIN Aktiengesellschaft;Hospitals
SPM.F;Splendid Medien AG;Entertainment - Diversified
MGN.F;Mologen AG;Biotechnology
MSF.DE;Microsoft Corporation;Business Software & Services
M3B.F;Mic AG;Asset Management
MLNEI.PA;News Invest;Conglomerates
MLWEY.PA;Weya SA;Diversified Utilities
MLP.F;MLP AG;Asset Management
MLUMG.PA;Umalis Group;Staffing & Outsourcing Services
MLHOT.PA;Hotelim Société Anonyme;Lodging
MLORC.PA;Orclass Com;Specialty Retail, Other
MLSEC.PA;SECURINFOR Société Anonyme;Information Technology Services
MLCHE.PA;Cheops Technology France SA;Information Technology Services
MLTEA.PA;SA Team;Aerospace/Defense - Major Diversified
MLBAT.PA;Batla Minerals SA;Industrial Metals & Minerals
MLMAD.PA;Made SA;Diversified Utilities
MLVIS.PA;Visio Nerf;Diversified Machinery
MLSOL.PA;Solia SA;Packaging & Containers
MLPHO.PA;Photonike Capital SA;Diversified Utilities
MLONL.PA;Onlineformapro S.A.;Internet Information Providers
MLDEX.PA;DEBFLEX S.A.;Diversified Electronics
MLFDV.PA;FD;Food Wholesale
MLMNR.PA;MNR GROUP SA;Aerospace/Defense - Major Diversified
MLCLP.PA;Colipays, S.A.;Specialty Retail, Other
MLAAE.PA;Caire;Air Services, Other
MLATV.PA;A Toute Vitesse SA;Business Services
MLPGO.PA;PGO Automobiles S.A.;Auto Manufacturers - Major
MOR.F;Morphosys AG;Biotechnology
MONC.PA;Financiere Moncey SA;Conglomerates
MPCK.F;MPC Münchmeyer Petersen Capital AG;Asset Management
4I1.F;Philip Morris International Inc.;Tobacco Products, Other
MRN.PA;Mersen S.A.;Diversified Electronics
MSF.F;Microsoft Corporation;Business Software & Services
MTT.F;Mattel, Inc.;Recreational Goods, Other
MTE.F;Micron Technology, Inc.;Semiconductor- Memory Chips
M4N.F;Muehlhan AG;Pollution & Treatment Controls
GREV.PA;Musee Grevin;Entertainment - Diversified
C1V.F;mVISE AG;Wireless Communications
MZX.F;Masterflex SE;Rubber & Plastics
NN6.F;NanoRepro AG;Medical Laboratories & Research
N7G.F;Nanogate AG;Rubber & Plastics
N2F.F;NanoFocus AG;Scientific & Technical Instruments
NNS.F;Coreo AG;Asset Management
NC5A.F;NorCom Information Technology AG;Business Services
NDX1.F;Nordex SE;Diversified Machinery
NMM.F;Newmont Mining Corporation;Gold
NESR.F;Nestlé S.A.;Food - Major Diversified
NFC.F;Netflix, Inc.;CATV Systems
NXU.F;Nexus AG;Technical & System Software
NMM.DE;Newmont Mining Corporation;Gold
NTG.PA;Netgem SA;Communication Equipment
NEM.F;Nemetschek SE;Technical & System Software
NKE.F;NIKE, Inc.;Textile - Apparel Footwear & Accessories
PHI1.F;Koninklijke Philips N.V.;Electronic Equipment
OKL.F;Orkla ASA;Food - Major Diversified
NOEJ.F;NORMA Group SE;Metal Fabrication
NOT.F;Novartis AG;Drug Manufacturers - Major
NOVA.F;Novo Nordisk A/S;Biotechnology
OS3.F;Opera Software ASA;Technical & System Software
NOA3.F;Nokia Corporation;Communication Equipment
NSU.F;AUDI AG;Auto Manufacturers - Major
SC2.F;Nuance Communications, Inc.;Technical & System Software
NVD.F;NVIDIA Corporation;Semiconductor - Broad Line
OBS.F;ORBIS AG;Business Services
OPC.F;Occidental Petroleum Corporation;Independent Oil & Gas
SACI.PA;Fiducial Office Solutions;Specialty Retail, Other
P4O.F;Plan Optik AG;Scientific & Technical Instruments
O4B.F;OVB Holding AG;Investment Brokerage - National
INP.F;International Paper Company;Packaging & Containers
UNP.F;Union Pacific Corporation;Railroads
UIS.F;Uranium Participation Corporation;Industrial Metals & Minerals
PARP.PA;Groupe Partouche SA;Resorts & Casinos
PCE1.F;The Priceline Group Inc.;Recreational Goods, Other
PES.F;Pearson plc;Publishing - Newspapers
WHT.F;Whiting Petroleum Corporation;Independent Oil & Gas
PEU.F;Peugeot S.A.;Auto Manufacturers - Major
PEU.DE;Peugeot S.A.;Auto Manufacturers - Major
WOPA.F;Woodside Petroleum Ltd;Independent Oil & Gas
PFE.DE;Pfizer Inc.;Drug Manufacturers - Major
PFE.F;Pfizer Inc.;Drug Manufacturers - Major
S3F.F;Santhera Pharmaceuticals Holding AG;Biotechnology
VX1.F;Vertex Pharmaceuticals Incorporated;Biotechnology
RUSAL.PA;United Company RUSAL Plc;Aluminum
PNE3.F;PNE Wind AG;Electric Utilities
PSM.F;ProSiebenSat.1 Media SE;Broadcasting - TV
PSAN.F;PSI Software AG;Business Software & Services
TPE.F;PVA TePla AG;Diversified Machinery
PWO.F;Progress Werk Oberkirch AG;Auto Parts
PZS.F;Scherzer & Co. AG;Conglomerates
RAA.F;RATIONAL Aktiengesellschaft;Industrial Equipment Wholesale
RTN1.F;Raytheon Company;Aerospace/Defense - Major Diversified
RHM.F;Rheinmetall AG;Diversified Machinery
RIO1.F;Rio Tinto plc;Industrial Metals & Minerals
RKET.F;Rocket Internet SE;Technical & System Software
RPL.F;UPM-Kymmene Oyj;Paper & Paper Products
RTC.F;RealTech AG;Information Technology Services
RWE.F;RWE Aktiengesellschaft;Diversified Utilities
RWE3.F;RWE Aktiengesellschaft;Diversified Utilities
VALE3.PA;Vale S.A.;Industrial Metals & Minerals
SLT.F;Schaltbau Holding AG;General Contractors
SHF.F;SNP Schneider-Neureither & Partner AG;Business Software & Services
SDT.PA;Visiodent S.A.;Healthcare Information Services
SFO.F;Softship AG;Information Technology Services
SFD1.F;Softline AG;Information Technology Services
F3C.F;SFC Energy AG;Diversified Machinery
SW1.F;SHW AG;Auto Parts
SVE.F;Shareholder Value Beteiligungen AG;Business Services
SIX3.F;Sixt SE;Rental & Leasing Services
SIE.F;Siemens Aktiengesellschaft;Diversified Machinery
SZZ.F;SinnerSchrader Aktiengesellschaft;Marketing Services
SK1A.F;SKW Stahl-Metallurgie Holding AG;Chemicals - Major Diversified
SNW2.F;Sanofi;Drug Manufacturers - Major
SNW.F;Sanofi;Drug Manufacturers - Major
SYT.F;Softing AG;Information Technology Services
F3A.F;First Solar, Inc.;Diversified Utilities
SRT.F;Sartorius Aktiengesellschaft;Scientific & Technical Instruments
SRT3.F;Sartorius Aktiengesellschaft;Scientific & Technical Instruments
WMT.F;Wal-Mart Stores, Inc.;Discount, Variety Stores
SYK.F;Stryker Corporation;Medical Appliances & Equipment
SZU.F;Südzucker AG;Confectioners
SUR.F;Surteco SE;Paper & Paper Products
UHRN.F;The Swatch Group AG;Jewelry Stores
UHR.F;The Swatch Group AG;Jewelry Stores
SWJ.F;Swisscom AG;Wireless Communications
SWVK.F;SolarWorld Aktiengesellschaft;Diversified Utilities
V3S.F;Vectron Systems AG;Technical & System Software
SYZ.F;Syzygy AG;Information Technology Services
SYM.F;Symantec Corporation;Technical & System Software
LIO1.F;Sygnis AG;Medical Laboratories & Research
SZG.F;Salzgitter Aktiengesellschaft;Steel & Iron
TLX.F;Talanx Aktiengesellschaft;Property & Casualty Insurance
TAYN.PA;Societe de Tayninh SA;Investment Brokerage - National
TTK.F;TAKKT AG;Marketing Services
TLI.F;TELES Aktiengesellschaft Informationstechnologien;Communication Equipment
WSU.F;Washtec AG;Diversified Machinery
TFI.PA;TF1 Group;Broadcasting - TV
TIPI.PA;Tipiak Société Anonyme;Food - Major Diversified
TIN.F;Baumot Group AG;Auto Parts
TKA.F;ThyssenKrupp AG;Steel & Iron
TOTB.F;TOTAL S.A.;Major Integrated Oil & Gas
TOU.PA;Toupargel Groupe SA;Food Wholesale
TOTA.F;TOTAL S.A.;Major Integrated Oil & Gas
TPN.F;Triplan AG;General Contractors
TTR1.F;Technotrans AG;Business Equipment
UNIN.F;Unilever N.V.;Personal Products
U6Z.F;Uranium Energy Corp.;Industrial Metals & Minerals
UTC1.F;United Technologies Corporation;Aerospace/Defense - Major Diversified
UZU.F;Uzin Utz AG;Specialty Chemicals
UUU.F;3U Holding AG;Wireless Communications
VAC.F;Vallourec SA;Steel & Iron
VIH.F;VIB VermÃ¶gen AG;Real Estate Development
VETO.PA;Vétoquinol SA;Drug Manufacturers - Major
V3V.F;VITA 34 AG;Biotechnology
V6C.F;Viscom AG;Scientific & Technical Instruments
VVU.F;Vivendi SA;Wireless Communications
VSC.F;4SC AG;Biotechnology
VT9.F;VTG Aktiengesellschaft;Railroads
WCH.F;Wacker Chemie AG;Chemicals - Major Diversified
WEG1.F;Westgrund AG;Real Estate Development
WIG1.F;_wige MEDIA AG;CATV Systems
WLN.PA;Worldline S.A.;Business Services
ENI1.F;Eni S.p.A.;Major Integrated Oil & Gas
BAS.F;BASF SE;Chemicals - Major Diversified
B5A.F;BAUER Aktiengesellschaft;General Contractors
B8A.F;BAVARIA Industries Group AG;Asset Management
BAYN.F;Bayer Aktiengesellschaft;Drug Manufacturers - Major
3RB.F;Reckitt Benckiser Group plc;Personal Products
BRM.F;Bristol-Myers Squibb Company;Drug Manufacturers - Major
COK.F;Cancom SE;Information Technology Services
CAT1.F;Caterpillar Inc.;Farm & Construction Machinery
CAT1.DE;Caterpillar Inc.;Farm & Construction Machinery
RE.PA;Colas SA;General Contractors
CON.F;Continental Aktiengesellschaft;Auto Parts
DEX.F;Delticom AG;Specialty Retail, Other
F3A.DE;First Solar, Inc.;Diversified Utilities
FIV.F;Fiserv, Inc.;Business Services
FRA.F;Fraport AG;Heavy Construction
FRE.F;Fresenius SE & Co. KGaA;Hospitals
INH.F;INDUS Holding AG;General Building Materials
INFY.PA;Infosys Limited;Information Technology Services
INL.F;Intel Corporation;Semiconductor - Broad Line
LIN.PA;Linedata Services S.A.;Technical & System Software
LIN.F;Linde Aktiengesellschaft;Chemicals - Major Diversified
MAN.F;MAN SE;Trucks & Other Vehicles
MAN.PA;Manutan International SA;Business Services
M5Z.F;Manz AG;Semiconductor Equipment & Materials
M4I.F;Mastercard Incorporated;Credit Services
M3V.F;MeVis Medical Solutions AG;Technical & System Software
6MK.DE;Merck & Co., Inc.;Drug Manufacturers - Major
6MK.F;Merck & Co., Inc.;Drug Manufacturers - Major
MIGA.F;MicroStrategy Incorporated;Technical & System Software
PRG.F;The Procter & Gamble Company;Personal Products
SAP.F;SAP SE;Technical & System Software
SAX.F;Ströer SE & Co. KGaA;Advertising Agencies
S7MB.F;Securitas AB;Security & Protection Services
SEFER.PA;SergeFerrari Group SA;General Building Materials
SONA.DE;Sony Corporation;Electronic Equipment
ST5.F;STEICO SE;Diversified Machinery
USX1.F;United States Steel Corporation;Steel & Iron
2GB.F;2G energy AG;Diversified Machinery
A7A.F;FinLab AG;Asset Management
