"date" "anger" "anticipation" "disgust" "fear" "joy" "negative" "positive" "sadness" "surprise" "trust" "volume" "prix" "High" "Low" "Close" "VolumeB" "Adjusted" "prixj1" "liss_veille" "accr"
2022-05-18 140 210 86 192 175 344 534 144 114 285 9742 146.850006 147.360001 139.899994 140.820007 109742900 140.62468 139.880005 146.850006 -6.970001
2022-05-19 175 191 98 195 145 359 496 148 104 273 8077 139.880005 141.660004 136.600006 137.350006 136095600 137.159485 139.089996 139.880005 -0.790008999999998
2022-05-20 149 195 82 184 148 316 479 132 97 265 6577 139.089996 140.699997 132.610001 137.589996 137426100 137.399139 NA 139.089996 0
2022-05-21 129 201 92 166 151 306 468 132 105 236 6078 NA NA NA NA NA NA NA 139.089996 0
2022-05-22 122 184 76 147 132 264 423 113 87 210 4931 NA NA NA NA NA NA 137.789993 139.089996 -1.300003
2022-05-23 106 163 65 134 123 226 367 103 93 196 5831 137.789993 143.259995 137.649994 143.110001 117726300 142.911484 140.809998 137.789993 3.020005
2022-05-24 132 183 82 161 143 284 452 114 104 247 6712 140.809998 141.970001 137.330002 140.360001 104132700 140.165298 138.429993 140.809998 -2.38000500000001
2022-05-25 141 210 87 173 146 317 459 130 108 255 7566 138.429993 141.789993 138.339996 140.520004 92482700 140.325089 137.389999 138.429993 -1.03999400000001
2022-05-26 148 200 95 194 149 350 495 148 100 256 7422 137.389999 144.339996 137.139999 143.779999 90601500 143.580551 145.389999 137.389999 8
2022-05-27 145 197 87 177 148 319 492 130 101 264 11540 145.389999 149.679993 145.259995 149.639999 90978500 149.432434 NA 145.389999 0
2022-05-28 139 184 85 175 157 323 484 122 94 264 8762 NA NA NA NA NA NA NA 145.389999 0
2022-05-29 132 172 79 174 133 296 409 124 98 218 6543 NA NA NA NA NA NA NA 145.389999 0
2022-05-30 103 169 58 132 132 233 394 104 87 203 6866 NA NA NA NA NA NA 149.070007 145.389999 3.68000800000002
2022-05-31 127 190 67 155 144 272 446 110 90 227 8023 149.070007 150.660004 146.839996 148.839996 103718400 148.633545 149.899994 149.070007 0.829986999999988
2022-06-01 127 195 83 170 147 303 481 128 95 250 7340 149.899994 151.740005 147.679993 148.710007 74286600 148.503723 147.830002 149.899994 -2.06999199999998
2022-06-02 143 203 96 177 140 320 464 130 98 249 7841 147.830002 151.270004 146.860001 151.210007 72348100 151.000259 146.899994 147.830002 -0.930008000000015
2022-06-03 128 178 76 151 138 266 449 119 97 245 8261 146.899994 147.970001 144.460007 145.380005 88570300 145.178345 NA 146.899994 0
2022-06-04 119 184 75 164 142 284 470 129 90 237 6093 NA NA NA NA NA NA NA 146.899994 0
2022-06-05 128 171 68 153 132 274 420 115 84 214 5982 NA NA NA NA NA NA 147.029999 146.899994 0.130005000000011
2022-06-06 117 152 75 143 112 242 367 111 86 176 6136 147.029999 148.570007 144.899994 146.139999 71598400 145.937286 144.350006 147.029999 -2.679993
2022-06-07 210 274 147 251 215 485 659 197 146 343 20655 144.350006 149 144.100006 148.710007 67808200 148.503723 148.580002 144.350006 4.229996
2022-06-08 204 258 130 263 195 498 635 190 141 347 22607 148.580002 149.869995 147.460007 147.960007 53950200 147.754776 147.080002 148.580002 -1.5
2022-06-09 166 220 114 214 182 414 563 162 120 312 11541 147.080002 147.949997 142.529999 142.639999 69473000 142.442139 140.279999 147.080002 -6.800003
2022-06-10 141 218 89 174 154 341 522 140 101 287 8995 140.279999 140.759995 137.059998 137.130005 91437900 136.939789 NA 140.279999 0
2022-06-11 149 215 85 192 161 339 506 140 115 276 9903 NA NA NA NA NA NA NA 140.279999 0
2022-06-12 145 171 76 162 133 303 441 136 100 242 7741 NA NA NA NA NA NA 132.869995 140.279999 -7.41000400000001
2022-06-13 112 169 85 144 128 247 403 110 86 212 6062 132.869995 135.199997 131.440002 131.880005 122207100 131.697067 133.130005 132.869995 0.260010000000023
2022-06-14 137 183 76 167 145 291 462 123 96 249 6729 133.130005 133.889999 131.479996 132.759995 84784300 132.575836 134.289993 133.130005 1.159988
2022-06-15 132 174 70 161 135 309 431 130 100 224 8549 134.289993 137.339996 132.160004 135.429993 91533000 135.242142 132.080002 134.289993 -2.209991
2022-06-16 134 187 80 162 137 295 422 131 91 221 6642 132.080002 132.389999 129.039993 130.059998 108123900 129.879593 130.070007 132.080002 -2.009995
2022-06-17 143 201 89 171 144 306 474 124 99 245 9669 130.070007 133.080002 129.809998 131.559998 134520300 131.377502 NA 130.070007 0
2022-06-18 142 188 87 177 151 332 496 132 106 268 7913 NA NA NA NA NA NA NA 130.070007 0
2022-06-19 131 179 83 165 138 282 449 121 99 239 7696 NA NA NA NA NA NA NA 130.070007 0
2022-06-20 123 174 79 166 136 291 435 125 89 239 6824 NA NA NA NA NA NA 133.419998 130.070007 3.34999099999999
2022-06-21 168 191 91 195 143 350 493 144 106 257 7814 133.419998 137.059998 133.320007 135.869995 81000500 135.681534 134.789993 133.419998 1.36999500000002
2022-06-22 145 193 87 184 153 316 484 137 100 261 6320 134.789993 137.759995 133.910004 135.350006 73409200 135.162262 136.820007 134.789993 2.03001399999999
2022-06-23 142 203 86 182 158 326 489 133 111 270 13259 136.820007 138.589996 135.630005 138.270004 72433800 138.078201 139.899994 136.820007 3.07998699999999
2022-06-24 123 202 82 180 154 309 495 131 92 257 8726 139.899994 141.910004 139.770004 141.660004 89116800 141.463501 NA 139.899994 0
2022-06-25 133 203 82 173 157 295 501 128 94 271 7107 NA NA NA NA NA NA NA 139.899994 0
2022-06-26 109 183 69 136 146 246 442 104 95 226 5409 NA NA NA NA NA NA 142.699997 139.899994 2.800003
2022-06-27 114 187 69 153 147 254 419 115 89 237 7655 142.699997 143.490005 140.970001 141.660004 70207900 141.463501 142.130005 142.699997 -0.569991999999985
2022-06-28 141 208 84 183 157 315 494 134 103 261 9386 142.130005 143.419998 137.320007 137.440002 67083400 137.249359 137.460007 142.130005 -4.66999800000002
2022-06-29 144 206 81 171 152 313 495 121 114 265 7863 137.460007 140.669998 136.669998 139.229996 66242400 139.036865 137.25 137.460007 -0.21000699999999
2022-06-30 147 205 82 170 164 316 483 134 102 255 8530 137.25 138.369995 133.770004 136.720001 98964500 136.53035 136.039993 137.25 -1.21000699999999
